STATE/UT,YEAR,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total
BIHAR,2003,Educational Standard,4974,104,5078,31189,945,32134,22,0,22,89,0,89,36274,1049,37323
BIHAR,2003,Educational Standard - Illiterate,1887,66,1953,13373,655,14028,1,0,1,27,0,27,15288,721,16009
BIHAR,2003,Educational Standard - Below Class X,2236,25,2261,11473,261,11734,17,0,17,52,0,52,13778,286,14064
BIHAR,2003,Educational Standard - Class X and above but below graduate,628,4,632,4784,27,4811,3,0,3,10,0,10,5425,31,5456
BIHAR,2003,Educational Standard - Graduate,173,0,173,1328,0,1328,1,0,1,0,0,0,1502,0,1502
BIHAR,2003,Educational Standard - Post-Graduate,36,0,36,176,0,176,0,0,0,0,0,0,212,0,212
BIHAR,2003,Educational Standard - Holding technical degree/diploma etc,14,9,23,55,2,57,0,0,0,0,0,0,69,11,80
BIHAR,2004,Educational Standard,5390,130,5520,26632,743,27375,65,0,65,113,0,113,32200,873,33073
BIHAR,2004,Educational Standard - Illiterate,1880,98,1978,10259,472,10731,8,0,8,55,0,55,12202,570,12772
BIHAR,2004,Educational Standard - Below Class X,2653,29,2682,11001,219,11220,33,0,33,44,0,44,13731,248,13979
BIHAR,2004,Educational Standard - Class X and above but below graduate,646,2,648,4130,40,4170,22,0,22,11,0,11,4809,42,4851
BIHAR,2004,Educational Standard - Graduate,162,1,163,1023,11,1034,2,0,2,3,0,3,1190,12,1202
BIHAR,2004,Educational Standard - Post-Graduate,36,0,36,166,1,167,0,0,0,0,0,0,202,1,203
BIHAR,2004,Educational Standard - Holding technical degree/diploma etc,13,0,13,53,0,53,0,0,0,0,0,0,66,0,66
